name	symbol	synonym	length	chromStart	chromEnd	strand	description	chrom	goterms	ecnums	kegg	pathways	cogs	pfams	operons
Rv1190			879	1332979	1333858	+	conserved hypothetical protein	chr					COG:R	PF00561.12	sigI-Rv1190
Rv1191			915	1333930	1334845	+	conserved hypothetical protein	chr					COG:R	PF00561.12	Rv1191-Rv1191
Rv1192			828	1334926	1335754	+	hypothetical protein	chr					COG:R		Rv1192-fadD36
Rv1193	fadD36		1422	1335793	1337215	+	fatty-acid-CoA ligase	chr				PWY:P221-PWY	COG:I,COG:Q	PF00501.20	Rv1192-fadD36
Rv1194c		Rv1194	1266	1337247	1338513	-	conserved hypothetical protein	chr					COG:T,COG:Q		Rv1194c-Rv1194c
Rv1195	PE13		300	1339002	1339302	+	PE family protein	chr						PF00934.12	PE13-PE13
Rv1196	PPE18		1176	1339348	1340524	+	PPE family protein	chr						PF00823.11	PPE18-PPE18
Rv1197	esxK		297	1340658	1340955	+	esat-6 like protein	chr						PF06013.4	esxK-esxK
Rv1198	esxL		285	1341005	1341290	+	esat-6 like protein	chr						PF06359.3	esxL-esxL
Rv1199c		Rv1199	1248	1341357	1342605	-	transposase	chr					COG:L	PF00872.10	Rv1199c-Rv1199c
Rv1200			1278	1342941	1344219	+	conserved membrane transport protein	chr						PF00083.16,PF07690.8	Rv1200-Rv1200
Rv1201c		Rv1201	954	1344215	1345169	-	transferase	chr	GO:0008666	EC:2.3.1.117	KEGG:00300		COG:E		Rv1201c-Rv1201c
Rv1202	dapE		1065	1345259	1346324	+	succinyl-diaminopimelate desuccinylase	chr	GO:0009014	EC:3.5.1.18	KEGG:00300	PWY:DAPLYSINESYN-PWY	COG:E	PF01546.20,PF07687.6	dapE-dapE
Rv1203c		Rv1203	585	1346320	1346905	-	hypothetical protein	chr							Rv1203c-Rv1204c
Rv1204c		Rv1204	1689	1346935	1348624	-	conserved hypothetical protein	chr							Rv1203c-Rv1204c
Rv1205			564	1348718	1349282	+	conserved hypothetical protein	chr					COG:R	PF03641.6	Rv1205-Rv1205
Rv1206	fadD6		1794	1349331	1351125	+	fatty-acid-CoA ligase	chr					COG:Q,COG:I	PF00501.20	fadD6-fadD6
Rv1207	folP2		957	1351190	1352147	+	dihydropteroate synthase 2	chr				PWY:FOLSYN-PWY	COG:H	PF00809.14	folP2-tagA
Rv1208			975	1352143	1353118	+	conserved hypothetical protein	chr					COG:M	PF00535.18	folP2-tagA
Rv1209			369	1353156	1353525	+	conserved hypothetical protein	chr							folP2-tagA
Rv1210	tagA		615	1353521	1354136	+	DNA-3-methyladenine glycosylase I	chr	GO:0008725	EC:3.2.2.20				PF03352.5	folP2-tagA
Rv1211			228	1354242	1354470	+	conserved hypothetical protein	chr							Rv1211-Rv1211
Rv1212c		Rv1212	1164	1354497	1355661	-	glycosyltransferase	chr		EC:2.4.1.-	KEGG:00512,KEGG:00540,KEGG:00051,KEGG:00600,KEGG:00604,KEGG:00510,KEGG:00533,KEGG:00563,KEGG:00602,KEGG:01030,KEGG:00601,KEGG:00513,KEGG:00603,KEGG:00561,KEGG:01031		COG:M	PF00534.12	Rv1212c-Rv1212c
Rv1213	glgC		1215	1355835	1357050	+	glucose-1-phosphate adenylyltransferase	chr	GO:0008878	EC:2.7.7.27	KEGG:00500	PWY:GLYCOGENSYNTH-PWY	COG:G	PF00483.15	glgC-glgC
Rv1214c	PE14	Rv1214	333	1357292	1357625	-	PE family protein	chr						PF00934.12	PE14-PE14
Rv1215c		Rv1215	1686	1357758	1359444	-	conserved hypothetical protein	chr					COG:R	PF02129.10,PF08530.2	Rv1215c-Rv1219c
Rv1216c		Rv1216	675	1359471	1360146	-	conserved membrane protein	chr					COG:O	PF04140.6	Rv1215c-Rv1219c
Rv1217c		Rv1217	1647	1360154	1361801	-	tetronasin-transport membrane protein ABC transporter	chr					COG:M		Rv1215c-Rv1219c
Rv1218c		Rv1218	936	1361797	1362733	-	tetronasin-transport ATP-binding protein ABC transporter	chr					COG:V	PF00005.19	Rv1215c-Rv1219c
Rv1219c		Rv1219	639	1362722	1363361	-	transcriptional regulator	chr					COG:K	PF00440.15	Rv1215c-Rv1219c
Rv1220c		Rv1220	648	1363502	1364150	-	methyltransferase	chr					COG:R	PF01596.9,PF08241.4	Rv1220c-Rv1220c
Rv1221	sigE		774	1364412	1365186	+	alternative RNA polymerase sigma factor	chr					COG:K	PF04542.6,PF04545.8,PF08281.4	sigE-sigE
Rv1222			465	1365343	1365808	+	conserved hypothetical protein	chr							Rv1222-Rv1222
Rv1223	htrA		1587	1365874	1367461	+	serine protease	chr				PWY:HYDROXYPRODEG-PWY	COG:O	PF00089.18,PF00595.16	htrA-tatB
Rv1224	tatB		396	1367462	1367858	+	hypothetical protein	chr	GO:0015031,GO:0008565				COG:U	PF02416.8	htrA-tatB
Rv1225c		Rv1225	831	1367890	1368721	-	conserved hypothetical protein	chr					COG:G	PF00702.18	Rv1225c-Rv1225c
Rv1226c		Rv1226	1464	1368831	1370295	-	transmembrane protein	chr					COG:S	PF03703.6	Rv1226c-Rv1227c
Rv1227c		Rv1227	534	1370291	1370825	-	transmembrane protein	chr					COG:S	PF03703.6	Rv1226c-Rv1227c
Rv1228	lpqX		558	1370919	1371477	+	lipoprotein	chr							lpqX-lpqX
Rv1229c	mrp	Rv1229	1173	1371776	1372949	-	hypothetical protein	chr					COG:D	PF01883.11	mrp-Rv1230c
Rv1230c		Rv1230	1236	1372961	1374197	-	membrane protein	chr					COG:M		mrp-Rv1230c
Rv1231c		Rv1231	543	1374321	1374864	-	membrane protein	chr					COG:S	PF06210.3	Rv1231c-Rv1232c
Rv1232c		Rv1232	1308	1374860	1376168	-	conserved hypothetical protein	chr					COG:P	PF00571.20,PF03448.9	Rv1231c-Rv1232c
Rv1233c		Rv1233	597	1376229	1376826	-	conserved membrane protein	chr							Rv1233c-Rv1233c
Rv1234			528	1376975	1377503	+	transmembrane protein	chr							Rv1234-sugC
Rv1235	lpqY		1407	1377523	1378930	+	sugar-binding lipoprotein	chr					COG:G	PF01547.17	Rv1234-sugC
Rv1236	sugA		924	1378926	1379850	+	sugar-transport membrane protein ABC transporter	chr					COG:G	PF00528.14	Rv1234-sugC
Rv1237	sugB		825	1379854	1380679	+	sugar-transport membrane protein ABC transporter	chr					COG:G	PF00528.14	Rv1234-sugC
Rv1238	sugC		1182	1380683	1381865	+	sugar-transport ATP-binding protein ABC transporter	chr	GO:0005524,GO:0016887				COG:G	PF00005.19	Rv1234-sugC
Rv1239c	corA	Rv1239	1101	1381941	1383042	-	magnesium and cobalt transport transmembrane protein	chr					COG:P	PF01544.10	corA-corA
Rv1240	mdh		990	1383212	1384202	+	malate dehydrogenase	chr	GO:0030060	EC:1.1.1.37	KEGG:00720,KEGG:00710,KEGG:00630,KEGG:00020,KEGG:00620	PWY:P106-PWY,PWY:MALATE-ASPARTATE-SHUTTLE-PWY,PWY:FERMENTATION-PWY,PWY:ANARESP1-PWY,PWY:GLYOXYLATE-BYPASS,PWY:GLUCONEO-PWY,PWY:TCA	COG:C	PF00056.15,PF02866.10	mdh-mdh
Rv1241			261	1384277	1384538	+	conserved hypothetical protein	chr							Rv1241-Rv1242
Rv1242			432	1384534	1384966	+	conserved hypothetical protein	chr							Rv1241-Rv1242
Rv1243c	PE_PGRS23	Rv1243	1689	1384988	1386677	-	PE-PGRS family protein	chr						PF00934.12	PE_PGRS23-PE_PGRS23
Rv1244	lpqZ		861	1386856	1387717	+	lipoprotein	chr					COG:M	PF04069.4	lpqZ-lpqZ
Rv1245c		Rv1245	831	1387797	1388628	-	short-chain type dehydrogenase/reductase	chr					COG:Q,COG:I,COG:R	PF00106.17,PF08659.2	Rv1245c-Rv1245c
Rv1246c		Rv1246	294	1388684	1388978	-	conserved hypothetical protein	chr					COG:J,COG:D	PF05016.6	Rv1246c-Rv1247c
Rv1247c		Rv1247	270	1388974	1389244	-	conserved hypothetical protein	chr					COG:D	PF02604.11	Rv1246c-Rv1247c
Rv1248c	kgd	Rv1248	3645	1389356	1393001	-	2-oxoglutarate dehydrogenase sucA	chr		EC:1.2.4.2,EC:2.3.1.61	KEGG:00020,KEGG:00380,KEGG:00310	PWY:GLUTAMOLYSIS-PWY,PWY:GLUCAT-PWY	COG:C,COG:C	PF00198.15,PF00676.12,PF02779.16	kgd-kgd
Rv1249c		Rv1249	789	1393193	1393982	-	membrane protein	chr							Rv1249c-Rv1249c
Rv1250			1740	1394178	1395918	+	drug-transport membrane protein	chr						PF07690.8	Rv1250-Rv1250
Rv1251c		Rv1251	3420	1395820	1399240	-	conserved hypothetical protein	chr					COG:R,COG:L		Rv1251c-Rv1251c
Rv1252c	lprE	Rv1252	609	1399295	1399904	-	lipoprotein	chr							lprE-lprE
Rv1253	deaD		1692	1399969	1401661	+	cold shock deaD-box protein A	chr					COG:L,COG:J,COG:K	PF00270.21,PF00271.23,PF03880.7	deaD-Rv1254
Rv1254			1152	1401657	1402809	+	acyltransferase	chr					COG:I	PF01757.14	deaD-Rv1254
Rv1255c		Rv1255	609	1402777	1403386	-	transcriptional regulator	chr					COG:K	PF00440.15	Rv1255c-cyp130
Rv1256c	cyp130	Rv1256	1218	1403385	1404603	-	cytochrome P450 130	chr					COG:Q	PF00067.14	Rv1255c-cyp130
Rv1257c		Rv1257	1368	1404716	1406084	-	oxidoreductase	chr					COG:C	PF01565.15,PF02913.11	Rv1257c-Rv1258c
Rv1258c		Rv1258	1260	1406080	1407340	-	conserved membrane transport protein	chr						PF07690.8	Rv1257c-Rv1258c
Rv1259			900	1407338	1408238	+	conserved hypothetical protein	chr					COG:L	PF03167.11	Rv1259-Rv1260
Rv1260			1119	1408239	1409358	+	oxidoreductase	chr					COG:C,COG:H	PF01494.11	Rv1259-Rv1260
Rv1261c		Rv1261	450	1409483	1409933	-	conserved hypothetical protein	chr						PF04075.6	Rv1261c-Rv1262c
Rv1262c		Rv1262	435	1409937	1410372	-	hypothetical protein	chr					COG:F,COG:R,COG:G	PF01230.15	Rv1261c-Rv1262c
Rv1263	amiB2		1389	1410430	1411819	+	amidase	chr						PF01425.13	amiB2-amiB2
Rv1264			1194	1411893	1413087	+	adenylyl cyclase	chr	GO:0004016	EC:4.6.1.1	KEGG:04540,KEGG:04742,KEGG:04720,KEGG:04914,KEGG:00230,KEGG:04916,KEGG:04740,KEGG:04020,KEGG:04912		COG:T	PF00211.12	Rv1264-Rv1264
Rv1265			681	1413259	1413940	+	hypothetical protein	chr							Rv1265-Rv1265
Rv1266c	pknH	Rv1266	1881	1413959	1415840	-	transmembrane serine/threonine-protein kinase H	chr					COG:R,COG:K,COG:T	PF00069.17	pknH-pknH
Rv1267c	embR	Rv1267	1167	1416180	1417347	-	transcriptional regulator	chr					COG:T,COG:T	PF00486.20,PF00498.18,PF03704.9	embR-embR
Rv1268c		Rv1268	699	1417657	1418356	-	hypothetical protein	chr							Rv1268c-Rv1268c
Rv1269c		Rv1269	375	1418578	1418953	-	conserved secreted protein	chr							Rv1269c-Rv1269c
Rv1270c	lprA	Rv1270	735	1419013	1419748	-	lipoprotein	chr						PF07161.5	lprA-lprA
Rv1271c		Rv1271	342	1419960	1420302	-	conserved secreted protein	chr						PF05305.6	Rv1271c-Rv1271c
Rv1272c		Rv1272	1896	1420409	1422305	-	drugs-transport transmembrane ATP-binding protein ABC transporter	chr					COG:V	PF00005.19,PF00664.15	Rv1272c-Rv1273c
Rv1273c		Rv1273	1749	1422301	1424050	-	drugs-transport transmembrane ATP-binding protein ABC transporter	chr					COG:V	PF00005.19,PF00664.15	Rv1272c-Rv1273c
Rv1274	lprB		558	1424196	1424754	+	lipoprotein	chr							lprB-lprC
Rv1275	lprC		543	1424750	1425293	+	lipoprotein	chr							lprB-lprC
Rv1276c		Rv1276	477	1425437	1425914	-	conserved hypothetical protein	chr					COG:T	PF00300.14	Rv1276c-Rv1276c
Rv1277			1254	1426163	1427417	+	conserved hypothetical protein	chr					COG:L	PF00149.20	Rv1277-Rv1279
Rv1278			2628	1427413	1430041	+	hypothetical protein	chr					COG:L,COG:S		Rv1277-Rv1279
Rv1279			1587	1430061	1431648	+	dehydrogenase FAD flavoprotein gmc oxidoreductase	chr				PWY:BETSYN-PWY	COG:E	PF00732.11,PF05199.5	Rv1277-Rv1279
Rv1280c	oppA	Rv1280	1776	1431664	1433440	-	periplasmic oligopeptide-binding lipoprotein	chr	GO:0005215,GO:0006810				COG:E	PF00496.14	oppA-oppB
Rv1281c	oppD	Rv1281	1839	1433432	1435271	-	oligopeptide-transport ATP-binding protein ABC transporter	chr	GO:0005215,GO:0016020,GO:0006810				COG:R	PF00005.19,PF08352.4	oppA-oppB
Rv1282c	oppC	Rv1282	876	1435267	1436143	-	oligopeptide-transport membrane protein ABC transporter	chr	GO:0006810,GO:0016020,GO:0005215				COG:E,COG:P	PF00528.14	oppA-oppB
Rv1283c	oppB	Rv1283	978	1436139	1437117	-	oligopeptide-transport membrane protein ABC transporter	chr	GO:0006810,GO:0005215,GO:0016020				COG:P,COG:E	PF00528.14	oppA-oppB
Rv1284			492	1437323	1437815	+	conserved hypothetical protein	chr						PF00484.11	Rv1284-Rv1284
Rv1285	cysD		999	1437908	1438907	+	sulfate adenylyltransferase subunit 2	chr	GO:0004781	EC:2.7.7.4	KEGG:00450,KEGG:00920,KEGG:00230	PWY:SO4ASSIM-PWY,PWY:PWY-781	COG:E,COG:H	PF01507.11	cysD-cysN
Rv1286	cysN		1845	1438906	1440751	+	bifunctional sulfate adenyltransferase/adenylylsulfate kinase cysN/cysC	chr		EC:2.7.7.4,EC:2.7.1.25	KEGG:00230,KEGG:00450,KEGG:00920	PWY:SO4ASSIM-PWY,PWY:PWY-781	COG:P,COG:P	PF00009.19,PF01583.12,PF03144.17	cysD-cysN
Rv1287			486	1440804	1441290	+	conserved hypothetical protein	chr					COG:K	PF02082.12	Rv1287-Rv1287
Rv1288			1371	1441347	1442718	+	conserved hypothetical protein	chr					COG:R,COG:M	PF00756.12,PF01476.12	Rv1288-Rv1288
Rv1289			633	1442766	1443399	+	hypothetical protein	chr							Rv1289-Rv1289
Rv1290A			315	1445057	1445372	+	hypothetical protein	chr							Rv1290A-Rv1290A
Rv1290c		Rv1290	1566	1443481	1445047	-	conserved hypothetical protein	chr					COG:S		Rv1290c-Rv1290c
Rv1291c		Rv1291	336	1445498	1445834	-	conserved secreted protein	chr						PF05305.6	Rv1291c-Rv1291c
Rv1292	argS		1653	1446378	1448031	+	arginyl-tRNA synthetase	chr	GO:0004814	EC:6.1.1.19	KEGG:00330,KEGG:00970	PWY:TRNA-CHARGING-PWY	COG:J	PF00750.11,PF03485.8,PF05746.7	argS-thrC
Rv1293	lysA		1344	1448027	1449371	+	diaminopimelate decarboxylase	chr	GO:0008836	EC:4.1.1.20	KEGG:00300	PWY:DAPLYSINESYN-PWY	COG:E	PF00278.14,PF02784.8	argS-thrC
Rv1294	thrA		1326	1449374	1450700	+	homoserine dehydrogenase	chr	GO:0004412	EC:1.1.1.3	KEGG:00260,KEGG:00300	PWY:HOMOSERSYN-PWY	COG:E	PF00742.11,PF01842.17,PF03447.8	argS-thrC
Rv1295	thrC		1083	1450696	1451779	+	threonine synthase	chr	GO:0004795	EC:4.2.3.1	KEGG:00750,KEGG:00260	PWY:HOMOSER-THRESYN-PWY	COG:E	PF00291.17	argS-thrC
Rv1296	thrB		951	1451996	1452947	+	homoserine kinase	chr	GO:0004413	EC:2.7.1.39	KEGG:00260	PWY:PWY-702,PWY:HOMOSER-THRESYN-PWY	COG:E	PF00288.18,PF08544.5	thrB-thrB
Rv1297	rho		1809	1453203	1455012	+	transcription termination factor	chr	GO:0016469,GO:0003715,GO:0006353,GO:0003723,GO:0005524,GO:0015986				COG:K	PF00006.17,PF07497.4,PF07498.4	rho-rho
Rv1298	rpmE		243	1455162	1455405	+	50S ribosomal protein L31	chr	GO:0006412,GO:0005622,GO:0005840,GO:0003735				COG:J	PF01197.10	rpmE-rpmE
Rv1299	prfA		1074	1455494	1456568	+	peptide chain release factor 1	chr	GO:0006415,GO:0003747				COG:J	PF00472.12,PF03462.10	prfA-Rv1301
Rv1300	hemK		978	1456564	1457542	+	hypothetical protein	chr				PWY:HEMESYN2-PWY	COG:J	PF05175.6	prfA-Rv1301
Rv1301			654	1457557	1458211	+	conserved hypothetical protein	chr					COG:J	PF01300.10	prfA-Rv1301
Rv1302	rfe		1215	1458294	1459509	+	undecapaprenyl-phosphate alpha-N-acetylglucosaminyltransferase	chr	GO:0003824,GO:0006629,GO:0016020	EC:2.7.8.-	KEGG:00600,KEGG:00440,KEGG:00520,KEGG:00564	PWY:ECASYN-PWY	COG:M	PF00953.13	rfe-rfe
Rv1303			486	1459765	1460251	+	conserved membrane protein	chr							Rv1303-atpB
Rv1304	atpB		753	1460243	1460996	+	ATP synthase A chain	chr	GO:0046961,GO:0046933	EC:3.6.3.14	KEGG:00190,KEGG:05120,KEGG:02040,KEGG:00195,KEGG:03070			PF00119.12	Rv1303-atpB
Rv1305	atpE		246	1461044	1461290	+	ATP synthase C chain	chr	GO:0046933,GO:0046961	EC:3.6.3.14	KEGG:00190,KEGG:05120,KEGG:03070,KEGG:00195,KEGG:02040		COG:C	PF00137.13	atpE-atpH
Rv1306	atpF		516	1461320	1461836	+	ATP synthase B chain	chr	GO:0046961,GO:0046933	EC:3.6.3.14	KEGG:05120,KEGG:03070,KEGG:00190,KEGG:00195,KEGG:02040		COG:C	PF00430.10	atpE-atpH
Rv1307	atpH		1341	1461842	1463183	+	ATP synthase delta chain	chr	GO:0046933,GO:0046961	EC:3.6.3.14	KEGG:02040,KEGG:00195,KEGG:00190,KEGG:03070,KEGG:05120		COG:C,COG:C	PF00213.10,PF00430.10	atpE-atpH
Rv1308	atpA		1650	1463227	1464877	+	ATP synthase alpha chain	chr	GO:0046961,GO:0046933	EC:3.6.3.14	KEGG:02040,KEGG:03070,KEGG:00190,KEGG:00195,KEGG:05120		COG:C	PF00006.17,PF00306.19,PF02874.15	atpA-Rv1312
Rv1309	atpG		918	1464883	1465801	+	ATP synthase gamma chain	chr	GO:0046933,GO:0046961	EC:3.6.3.14	KEGG:00195,KEGG:03070,KEGG:02040,KEGG:00190,KEGG:05120		COG:C	PF00231.11	atpA-Rv1312
Rv1310	atpD		1461	1465840	1467301	+	ATP synthase beta chain	chr	GO:0046961,GO:0046933	EC:3.6.3.14	KEGG:03070,KEGG:02040,KEGG:05120,KEGG:00195,KEGG:00190		COG:C	PF00006.17,PF00306.19,PF02874.15	atpA-Rv1312
Rv1311	atpC		366	1467314	1467680	+	ATP synthase epsilon chain	chr	GO:0046961,GO:0046933	EC:3.6.3.14	KEGG:02040,KEGG:03070,KEGG:05120,KEGG:00195,KEGG:00190			PF00401.12,PF02823.8	atpA-Rv1312
Rv1312			444	1467687	1468131	+	conserved secreted protein	chr							atpA-Rv1312
Rv1313c		Rv1313	1335	1468170	1469505	-	transposase	chr					COG:L	PF01610.9	Rv1313c-Rv1313c
Rv1314c		Rv1314	582	1469670	1470252	-	conserved hypothetical protein	chr	GO:0008817	EC:2.5.1.17	KEGG:00860		COG:S	PF01923.10	Rv1314c-Rv1314c
Rv1315	murA		1257	1470320	1471577	+	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	chr	GO:0008760	EC:2.5.1.7	KEGG:00530	PWY:PEPTIDOGLYCANSYN-PWY	COG:M	PF00275.12	murA-murA
Rv1316c	ogt	Rv1316	498	1477133	1477631	-	methylated-DNA-protein-cysteine methyltransferase	chr	GO:0003908	EC:2.1.1.63			COG:L	PF01035.12,PF02870.7	ogt-alkA
Rv1317c	alkA	Rv1317	1491	1477627	1479118	-	ada regulatory protein	chr						PF00165.15,PF00730.17,PF02805.8,PF06029.3	ogt-alkA
Rv1318c		Rv1318	1626	1479198	1480824	-	adenylate cyclase	chr	GO:0004016	EC:4.6.1.1	KEGG:04540,KEGG:04916,KEGG:04020,KEGG:04740,KEGG:04742,KEGG:04914,KEGG:00230,KEGG:04912,KEGG:04720		COG:T	PF00211.12,PF00672.17	Rv1318c-Rv1318c
Rv1319c		Rv1319	1608	1480893	1482501	-	adenylate cyclase	chr	GO:0004016	EC:4.6.1.1	KEGG:04914,KEGG:00230,KEGG:04916,KEGG:04720,KEGG:04020,KEGG:04742,KEGG:04540,KEGG:04740,KEGG:04912		COG:T	PF00211.12,PF00672.17	Rv1319c-Rv1320c
Rv1320c		Rv1320	1704	1482513	1484217	-	adenylate cyclase	chr	GO:0004016	EC:4.6.1.1	KEGG:04912,KEGG:04720,KEGG:00230,KEGG:04020,KEGG:04740,KEGG:04742,KEGG:04914,KEGG:04540,KEGG:04916		COG:T	PF00211.12,PF00672.17	Rv1319c-Rv1320c
Rv1321			681	1484278	1484959	+	conserved hypothetical protein	chr					COG:L	PF01939.8	Rv1321-Rv1322
Rv1322			297	1484981	1485278	+	conserved hypothetical protein	chr							Rv1321-Rv1322
Rv1322A			459	1485312	1485771	-	conserved hypothetical protein	chr					COG:E	PF00903.17	Rv1322A-Rv1322A
Rv1323	fadA4		1170	1485861	1487031	+	acetyl-CoA acetyltransferase	chr		EC:2.3.1.9,EC:2.3.1.16	KEGG:00120,KEGG:00072,KEGG:03320,KEGG:00632,KEGG:00071,KEGG:00650,KEGG:00062,KEGG:00620,KEGG:00310,KEGG:02020,KEGG:00640,KEGG:00380,KEGG:00280,KEGG:00362	PWY:CENTFERM-PWY	COG:I	PF00108.15,PF02803.10	fadA4-fadA4
Rv1324			915	1487160	1488075	+	thioredoxin	chr					COG:O	PF00085.12	Rv1324-Rv1324
Rv1325c	PE_PGRS24	Rv1325	1812	1488153	1489965	-	PE-PGRS family protein	chr						PF00934.12	PE_PGRS24-PE_PGRS24
Rv1326c	glgB	Rv1326	2196	1490116	1492312	-	1,4-alpha-glucan branching enzyme	chr	GO:0003844	EC:2.4.1.18	KEGG:00500	PWY:GLYCOGENSYNTH-PWY	COG:G	PF00128.16,PF02806.10,PF02922.9	glgB-glgE
Rv1327c	glgE	Rv1327	2106	1492319	1494425	-	glucanase	chr						PF00128.16	glgB-glgE
Rv1328	glgP		2592	1494563	1497155	+	glycogen phosphorylase	chr	GO:0004645	EC:2.4.1.1	KEGG:04910,KEGG:00500	PWY:GLYCOCAT-PWY	COG:G	PF00343.12	glgP-glgP
Rv1329c	dinG	Rv1329	1995	1497194	1499189	-	ATP-dependent helicase	chr	GO:0003676,GO:0008026,GO:0005524				COG:L,COG:K	PF00270.21	dinG-Rv1330c
Rv1330c		Rv1330	1347	1499212	1500559	-	conserved hypothetical protein	chr	GO:0004516	EC:2.4.2.11	KEGG:00760		COG:H	PF01729.11,PF04095.8	dinG-Rv1330c
Rv1331	clpS		306	1500660	1500966	+	conserved hypothetical protein	chr						PF02617.9	clpS-Rv1341
Rv1332			657	1500925	1501582	+	transcriptional regulator	chr							clpS-Rv1341
Rv1333			1035	1501598	1502633	+	hydrolase	chr					COG:E,COG:Q	PF03576.6	clpS-Rv1341
Rv1334			441	1502640	1503081	+	conserved hypothetical protein	chr					COG:R	PF01398.13	clpS-Rv1341
Rv1335			282	1503102	1503384	+	9.5 kda culture filtrate antigen cfp10a	chr					COG:H	PF02597.12	clpS-Rv1341
Rv1336	cysM		972	1503393	1504365	+	cysteine synthase B	chr	GO:0004124	EC:2.5.1.47	KEGG:00920,KEGG:00272,KEGG:00450	PWY:CYSTSYN-PWY	COG:E	PF00291.17	clpS-Rv1341
Rv1337			723	1504355	1505078	+	membrane protein	chr					COG:R	PF01694.14	clpS-Rv1341
Rv1338	murI		816	1505074	1505890	+	glutamate racemase	chr	GO:0008881	EC:5.1.1.3	KEGG:00251,KEGG:00471	PWY:PEPTIDOGLYCANSYN-PWY	COG:M	PF01177.14	clpS-Rv1341
Rv1339			822	1505916	1506738	+	conserved hypothetical protein	chr					COG:R		clpS-Rv1341
Rv1340	rph		780	1506754	1507534	+	ribonuclease rphA	chr	GO:0009022	EC:2.7.7.56			COG:J	PF01138.13,PF03725.7	clpS-Rv1341
Rv1341			615	1507572	1508187	+	conserved hypothetical protein	chr					COG:F	PF01725.8	clpS-Rv1341
Rv1342c		Rv1342	363	1508183	1508546	-	conserved membrane protein	chr							Rv1342c-lprD
Rv1343c	lprD	Rv1343	381	1508542	1508923	-	lipoprotein	chr					COG:K		Rv1342c-lprD
Rv1344			321	1508967	1509288	+	acyl carrier protein	chr					COG:I,COG:Q	PF00550.17	Rv1344-fadE14
Rv1345	fadD33		1566	1509280	1510846	+	polyketide synthase	chr					COG:Q,COG:I	PF00501.20	Rv1344-fadE14
Rv1346	fadE14		1161	1510845	1512006	+	acyl-CoA dehydrogenase	chr	GO:0004466	EC:1.3.99.13	KEGG:00071,KEGG:03320	PWY:CENTFERM-PWY	COG:I	PF00441.16,PF02770.11	Rv1344-fadE14
Rv1347c		Rv1347	633	1511972	1512605	-	conserved hypothetical protein	chr					COG:J		Rv1347c-Rv1347c
Rv1348			2580	1513046	1515626	+	drugs-transport transmembrane ATP-binding protein ABC transporter	chr					COG:V,COG:P	PF00005.19,PF00664.15,PF04954.5,PF08021.3	Rv1348-Rv1349
Rv1349			1740	1515622	1517362	+	drugs-transport transmembrane ATP-binding protein ABC transporter	chr					COG:V	PF00005.19	Rv1348-Rv1349
Rv1350	fabG		744	1517490	1518234	+	3-oxoacyl-[acyl-carrier protein] reductase fabG2	chr	GO:0004316	EC:1.1.1.100	KEGG:00061		COG:I,COG:R,COG:Q	PF00106.17,PF08659.2	fabG-Rv1351
Rv1351			330	1518230	1518560	+	hypothetical protein	chr							fabG-Rv1351
Rv1352			372	1518762	1519134	+	conserved hypothetical protein	chr							Rv1352-Rv1352
Rv1353c		Rv1353	786	1519199	1519985	-	transcriptional regulator	chr					COG:K	PF00440.15,PF02909.9	Rv1353c-Rv1356c
Rv1354c		Rv1354	1872	1520004	1521876	-	conserved hypothetical protein	chr						PF00563.12,PF00990.13,PF01590.18	Rv1353c-Rv1356c
Rv1355c	moeY	Rv1355	2148	1521884	1524032	-	molybdopterin biosynthesis protein	chr					COG:H	PF00899.13	Rv1353c-Rv1356c
Rv1356c		Rv1356	792	1524028	1524820	-	hypothetical protein	chr							Rv1353c-Rv1356c
Rv1357c		Rv1357	924	1525292	1526216	-	conserved hypothetical protein	chr						PF00563.12	Rv1357c-Rv1357c
Rv1358			3480	1526611	1530091	+	transcriptional regulator	chr					COG:R,COG:K,COG:T	PF00196.11,PF07721.6	Rv1358-Rv1358
Rv1359			753	1530172	1530925	+	transcriptional regulator	chr					COG:T		Rv1359-Rv1359
Rv1360			1023	1531347	1532370	+	oxidoreductase	chr					COG:C		Rv1360-Rv1360
Rv1361c	PPE19	Rv1361	1191	1532442	1533633	-	PPE family protein	chr						PF00823.11	PPE19-PPE19
Rv1362c		Rv1362	663	1533947	1534610	-	membrane protein	chr							Rv1362c-Rv1363c
Rv1363c		Rv1363	786	1534606	1535392	-	membrane protein	chr							Rv1362c-Rv1363c
Rv1364c		Rv1364	1962	1535682	1537644	-	conserved hypothetical protein	chr	GO:0004721				COG:K,COG:T,COG:T	PF01740.13,PF02518.18,PF07228.4,PF08448.2	Rv1364c-Rv1364c
Rv1365c	rsfA	Rv1365	387	1537782	1538169	-	anti-anti-sigma factor	chr					COG:T	PF01740.13	rsfA-rsfA
Rv1366			822	1538389	1539211	+	hypothetical protein	chr					COG:S	PF04607.9	Rv1366-Rv1366
Rv1367c		Rv1367	1134	1539511	1540645	-	conserved hypothetical protein	chr					COG:V	PF00144.16	Rv1367c-Rv1367c
Rv1368	lprF		786	1541019	1541805	+	lipoprotein	chr						PF07161.5	lprF-lprF
Rv1369c		Rv1369	885	1541993	1542878	-	transposase	chr					COG:L	PF00665.18	Rv1369c-Rv1369c
